n_patterns,pattern_index,trial,strict_success,inversion_tolerant_success,final_energy
7,4,10,0,0,-64.38000000000001
7,5,10,1,1,-51.08
7,6,10,1,1,-48.06
7,0,11,0,0,-47.660000000000004
7,1,11,1,1,-52.12
7,2,11,1,1,-48.920000000000016
7,3,11,0,0,-65.64000000000001
7,4,11,0,0,-62.680000000000014
7,5,11,1,1,-51.80000000000001
7,6,11,1,1,-49.02
7,0,12,1,1,-49.42000000000001
7,1,12,0,0,-53.580000000000005
7,2,12,1,1,-49.18
7,3,12,0,0,-62.06
7,4,12,0,0,-63.34000000000001
7,5,12,1,1,-47.96000000000001
7,6,12,0,0,-43.88000000000001
7,0,13,1,1,-49.38000000000001
7,1,13,0,0,-58.58000000000001
7,2,13,1,1,-49.300000000000004
7,3,13,0,0,-62.24000000000001
7,4,13,0,0,-65.78
7,5,13,1,1,-47.78
7,6,13,0,0,-60.58000000000001
7,0,14,0,0,-45.64000000000001
7,1,14,0,0,-61.50000000000001
7,2,14,1,1,-50.120000000000005
7,3,14,0,0,-63.48
7,4,14,0,0,-63.580000000000005
7,5,14,1,1,-48.540000000000006
7,6,14,0,0,-47.5
7,0,15,1,1,-50.25999999999999
7,1,15,0,0,-50.82
7,2,15,0,0,-43.36000000000001
7,3,15,1,1,-60.82
7,4,15,0,0,-64.18
7,5,15,1,1,-48.420000000000016
7,6,15,1,1,-48.90000000000001
7,0,16,0,0,-51.96
7,1,16,1,1,-52.84000000000001
7,2,16,1,1,-50.12
7,3,16,1,1,-61.160000000000004
7,4,16,0,0,-63.18000000000001
7,5,16,1,1,-50.28
7,6,16,1,1,-47.26
7,0,17,0,0,-55.64000000000001
7,1,17,0,0,-53.9
7,2,17,0,0,-63.02
7,3,17,1,1,-61.1
7,4,17,0,0,-63.400000000000006
7,5,17,1,1,-49.800000000000004
7,6,17,0,0,-63.02
7,0,18,0,0,-66.78000000000002
7,1,18,0,0,-55.74000000000001
7,2,18,0,0,-47.900000000000006
7,3,18,0,0,-63.32000000000001
7,4,18,0,0,-66.94000000000001
7,5,18,0,0,-45.82
7,6,18,1,1,-53.02
7,0,19,1,1,-49.379999999999995
7,1,19,1,1,-53.540000000000006
7,2,19,0,0,-46.88000000000001
7,3,19,0,0,-64.32000000000002
7,4,19,0,0,-64.18
7,5,19,0,0,-47.36
7,6,19,1,1,-49.78
7,0,20,0,0,-47.019999999999996
7,1,20,0,0,-56.92
7,2,20,1,1,-48.84000000000001
7,3,20,0,0,-59.98
7,4,20,0,0,-63.64
7,5,20,1,1,-48.36000000000001
7,6,20,0,0,-66.28000000000002
7,0,21,0,0,-47.84
7,1,21,1,1,-52.5
7,2,21,0,0,-47.04
7,3,21,0,0,-63.36000000000001
7,4,21,0,0,-63.220000000000006
7,5,21,0,0,-44.18000000000001
7,6,21,1,1,-47.620000000000005
7,0,22,1,1,-50.50000000000001
7,1,22,1,1,-56.02
7,2,22,1,1,-48.98000000000001
7,3,22,1,1,-60.74000000000001
7,4,22,0,0,-61.300000000000026
7,5,22,0,0,-63.06000000000001
7,6,22,1,1,-47.22
7,0,23,0,0,-64.68
7,1,23,1,1,-52.440000000000005
7,2,23,0,0,-47.50000000000001
7,3,23,0,0,-64.68
7,4,23,0,0,-63.580000000000005
7,5,23,1,1,-50.760000000000005
7,6,23,1,1,-49.34
7,0,24,0,0,-50.22000000000001
